,user,text,favorite_count,retweet_count,created_at
58,elonmusk,@MKBHD Twitter is getting scammed by phone companies for $60M/year of fake 2FA SMS messages,58071,2970,2023-02-18 17:27:13+00:00
59,elonmusk,"@MuskUniversity Yes, at least here",6890,419,2023-02-18 12:35:14+00:00
60,elonmusk,@EvaFoxU 🤣,13817,421,2023-02-18 12:34:42+00:00
61,elonmusk,"@SiamKidd Fate loves irony, but hates hypocrisy",12667,741,2023-02-18 11:23:06+00:00
62,elonmusk,@wintonARK !!,1281,85,2023-02-18 08:54:41+00:00
63,elonmusk,Interesting https://t.co/3G7ABMNegT,174598,16290,2023-02-18 08:30:50+00:00
64,elonmusk,@BillyM2k @TheAaronBowley We’re working on it,3903,193,2023-02-18 08:28:59+00:00
65,elonmusk,@BillyM2k @JasonKPargin yeah,3253,176,2023-02-18 07:58:47+00:00
66,elonmusk,@greg_price11 Commercial airlines in the US are much safer per mile traveled than trains (or cars),23328,1168,2023-02-18 04:45:59+00:00
67,elonmusk,Second launch today https://t.co/BGojqibQhh,73257,4968,2023-02-18 04:04:37+00:00
68,elonmusk,@TitterTakeover Yup,5354,263,2023-02-18 03:14:19+00:00
69,elonmusk,@ElijahSchaffer Tragic. I hope SF comes back from this emptiness. It is such a beautiful city with so many amazing people.,24764,1217,2023-02-17 23:41:58+00:00
70,elonmusk,@AutismCapital 🤣,3554,173,2023-02-17 23:40:18+00:00
71,elonmusk,https://t.co/2YnLMPZmXH,121236,7779,2023-02-17 23:38:43+00:00
72,elonmusk,"@getpaidwrite @boo I’d like to thank the advertising community that has stuck with us as we improve our ad products and experience. 

We will deliver great results for you going forward.",3173,214,2023-02-17 23:34:52+00:00
73,elonmusk,@dougboneparth 🤣,5205,182,2023-02-17 22:44:44+00:00
74,elonmusk,@getpaidwrite @boo Same. Irrelevant/annoying ads work for neither the user nor the advertiser!,6503,188,2023-02-17 22:44:02+00:00
75,elonmusk,"@ScottAdamsSays A big part of the problem is that journalists used to choose their career to pursue truth, but in recent years many have entered journalism to be activists",109258,13874,2023-02-17 22:42:04+00:00
76,elonmusk,@alexchaomander Yes. Will be embarrassing.,2483,130,2023-02-17 22:37:44+00:00
77,elonmusk,@BillyM2k @theboimerch7 !!,1631,104,2023-02-17 22:36:17+00:00
78,elonmusk,"@TalosIV_Pike @SirineAti @boo We started improving relevance in December, but still a very long way to go",2894,109,2023-02-17 22:35:02+00:00
79,elonmusk,@alex_avoigt Exactly,3467,173,2023-02-17 22:30:27+00:00
80,elonmusk,@BillyM2k @TheSmarmyBum Or at least it is indistinguishable from such. Either way.,3097,181,2023-02-17 22:27:29+00:00
81,elonmusk,@EvaFoxU Your tweets are excellent,3619,196,2023-02-17 22:25:58+00:00
82,elonmusk,"@SirineAti @boo You are not alone. When I ask people if they use Twitter, almost all have for many years. When I ask if they’ve ever bought something from an ad after using the site for a decade, the answer is almost always no. That’s insane!

The biggest problem is that Twitter optimized for… https://t.co/cnhwbkHXfn",10467,429,2023-02-17 22:21:34+00:00
83,elonmusk,"@teslaownersSV @boo Never seen anything so messed up. Wish it wasn’t. But we’re making good progress, albeit with many 2 steps forward, 1 step back situations.",8815,345,2023-02-17 22:14:38+00:00
84,elonmusk,"@boo My apologies, you must be a genius, which is why Twitter has the worst ad relevance on Earth. 

Almost nobody buys anything on Twitter, but almost everyone on Instagram does.

That is being fixed.",265580,11642,2023-02-17 22:09:36+00:00
85,elonmusk,This is my finest work – please add to gravestone along with “invented car fart” https://t.co/vbeOOqKuyT,379116,22633,2023-02-17 22:02:31+00:00
86,elonmusk,@wallacemick @vonderleyen Cue André meme,3428,222,2023-02-17 21:37:35+00:00
87,elonmusk,@BillyM2k you are wise,7845,350,2023-02-17 21:36:01+00:00
88,elonmusk,@LouiseMensch @TheDustyBC True,865,57,2023-02-17 21:30:03+00:00
89,elonmusk,@mattyxb 🔥 🚽 🤫,3797,164,2023-02-17 20:40:32+00:00
90,elonmusk,@rawenclown @EvaFoxU Same,1091,60,2023-02-17 20:37:47+00:00
91,elonmusk,"@BillyM2k The algorithm needs &amp; will get major upgrades. We will still publish it later this month, but please expect to see many bugs &amp; silly logic!

What matters is showing users compelling content. We’re doing better than before (I think). User-minutes are up &gt;10% from last year.",4749,408,2023-02-17 20:34:45+00:00
92,elonmusk,"@TheDustyBC That’s been true for a long time &amp; is a function of an account’s popularity (Bieber was top recommendation). 

I don’t think we should suggest anyone, but just show new users the most interesting tweets on system &amp; adjust according to what they like.",1794,113,2023-02-17 20:15:06+00:00
93,elonmusk,@greg16676935420 Nice,6474,160,2023-02-17 19:49:10+00:00
94,elonmusk,@cb_doge 🤣🤣,1361,75,2023-02-17 19:48:17+00:00
95,elonmusk,@Tedmund_ I was made the Tom of Twitter by Twitter!,2991,146,2023-02-17 19:48:00+00:00
96,elonmusk,@cb_doge Seriously! And I don’t even follow them.,1282,91,2023-02-17 19:46:13+00:00
97,elonmusk,@cb_doge 🤣🤣,5388,185,2023-02-17 19:43:13+00:00
98,elonmusk,"Note: if many people who you follow or like also follow me, it is highly probable that the algorithm will recommend my tweets. It’s not super sophisticated.

In coming months, we will offer the ability to adjust the algorithm to closer match what is most compelling to you.",162370,10287,2023-02-17 19:41:56+00:00
99,elonmusk,@jimmy_dore True,9721,524,2023-02-17 12:50:38+00:00
100,elonmusk,"@washingtonpost Your article is false and obviously so. Do you really do no research at all? I mean, like reading a few tweets, for example. https://t.co/c3ST23XX15",71886,5674,2023-02-17 12:19:08+00:00
